

RUN: run status: enemy: 5; fitness: 88.5593183689845; player life: 41.20000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.56751081973138; player life: 32.200000000000266; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.6909239151048; player life: 42.40000000000029; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 89.65092391510481; player life: 52.00000000000031; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.6909239151048; player life: 42.40000000000029; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 87.56751081973138; player life: 32.200000000000266; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 86.90695546589963; player life: 29.80000000000026; enemy life: 0; time: 434

RUN: run status: enemy: 5; fitness: 87.00324619773174; player life: 26.800000000000253; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 87.56751081973138; player life: 32.200000000000266; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 87.24324619773175; player life: 29.20000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 89.0393183689845; player life: 46.0000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 89.2193183689845; player life: 47.8000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 90.0852886203982; player life: 56.800000000000324; enemy life: 0; time: 269

RUN: run status: enemy: 5; fitness: 87.72324619773175; player life: 34.00000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.10751081973139; player life: 37.60000000000028; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.5593183689845; player life: 41.20000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.58751081973138; player life: 42.40000000000029; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 38.912244721017885; player life: 8.200000000000232; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: -4.587755278982112; player life: 23.200000000000244; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.2193183689845; player life: 47.8000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 89.5193183689845; player life: 50.80000000000031; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.6909239151048; player life: 42.40000000000029; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 89.5193183689845; player life: 50.80000000000031; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.93092391510481; player life: 44.800000000000296; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.28751081973138; player life: 39.40000000000028; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.28751081973138; player life: 39.40000000000028; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.7993183689845; player life: 43.60000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 47.638697522427; player life: 0; enemy life: 40.0; time: 579

RUN: run status: enemy: 5; fitness: 88.02324619773175; player life: 37.00000000000028; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 88.6909239151048; player life: 42.40000000000029; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 87.38751081973138; player life: 30.40000000000026; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.76901301948917; player life: 43.60000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 87.56751081973138; player life: 32.200000000000266; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.7993183689845; player life: 43.60000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.78324619773174; player life: 34.60000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 19.832244721017876; player life: 87.40000000000012; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -4.227755278982111; player life: 26.800000000000253; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 11.501717850523566; player life: 0; enemy life: 80.0; time: 664

RUN: run status: enemy: 5; fitness: 86.76324619773175; player life: 24.400000000000247; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 89.1109239151048; player life: 46.6000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 87.86751081973138; player life: 35.20000000000027; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.34751081973138; player life: 40.000000000000284; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.10751081973139; player life: 37.60000000000028; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.97931836898451; player life: 45.4000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 87.78324619773174; player life: 34.60000000000027; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: 89.23092391510481; player life: 47.8000000000003; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.93092391510481; player life: 44.800000000000296; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.34751081973138; player life: 40.000000000000284; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 89.0393183689845; player life: 46.0000000000003; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 89.47092391510482; player life: 50.20000000000031; enemy life: 0; time: 257

RUN: run status: enemy: 5; fitness: 88.10751081973139; player life: 37.60000000000028; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: -6.366470447731438; player life: 0; enemy life: 100; time: 582

RUN: run status: enemy: 5; fitness: 88.76901301948917; player life: 43.60000000000029; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: 88.5593183689845; player life: 41.20000000000029; enemy life: 0; time: 260

RUN: run status: enemy: 5; fitness: 88.34751081973138; player life: 40.000000000000284; enemy life: 0; time: 285

RUN: run status: enemy: 5; fitness: 88.94901301948917; player life: 45.4000000000003; enemy life: 0; time: 268

